feature,direction,phase_compared,pooled
RPL28,down,post_vs_pre_pooled,-2.40719917263317
RPS16,down,post_vs_pre_pooled,-2.1596552781138
RPL13A,down,post_vs_pre_pooled,-2.42886458836472
RPLP2,down,post_vs_pre_pooled,-2.22150132473304
RPL37A,down,post_vs_pre_pooled,-2.2949016555312
RPL18A,down,post_vs_pre_pooled,-2.06520989835618
RPS27,down,post_vs_pre_pooled,-2.26858048507251
RPS23,down,post_vs_pre_pooled,-2.28891496227239
RPS2,down,post_vs_pre_pooled,-2.25946296943651
RPL19,down,post_vs_pre_pooled,-2.24007680434418
RPS19,down,post_vs_pre_pooled,-2.09783776751261
RPS28,down,post_vs_pre_pooled,-2.05433983422691
RPL34,down,post_vs_pre_pooled,-2.1094699476144
PLCG2,up,post_vs_pre_pooled,2.37486335557614
RPL11,down,post_vs_pre_pooled,-2.15342842967266
MTRNR2L12,up,post_vs_pre_pooled,2.95452349517851
EEF1A1,down,post_vs_pre_pooled,-2.33500900417206
RPL30,down,post_vs_pre_pooled,-2.07080451558994
RPS15A,down,post_vs_pre_pooled,-1.92174159388206
RPS13,down,post_vs_pre_pooled,-2.02736463914444
RPS29,down,post_vs_pre_pooled,-1.96753335834497
RPS6,down,post_vs_pre_pooled,-1.84689998801696
RPL27A,down,post_vs_pre_pooled,-1.99198594120546
